district,ur,cpi_code,cpi_category,category_district_spend,household_count,avg_spend_rwf,total_district_spend,basket_share_pct
Kicukiro,Urban,05,Furnishing and household,1650804901.2425485,338.0,21951.0,19000978121.510117,8.69
Kicukiro,Urban,06,Health,853576590.1942399,131.0,35584.0,19000978121.510117,4.49
Kicukiro,Urban,07,Transport,3627840343.407895,42.0,452100.0,19000978121.510117,19.09
Kicukiro,Urban,08,Communication,93199862.28779723,64.0,6917.0,19000978121.510117,0.49
Kicukiro,Urban,09,Recreation and culture,290302943.49359167,22.0,67123.0,19000978121.510117,1.53
Kicukiro,Urban,10,Education,432294.4304675936,5.0,420.0,19000978121.510117,0.0
Kicukiro,Urban,11,Restaurants and hotels,3761805006.1720457,18.0,1008483.0,19000978121.510117,19.8
Kicukiro,Urban,12,Miscellaneous,923325143.4407017,147.0,30877.0,19000978121.510117,4.86
Kicukiro,Rural,01,Food and non-alcoholic beverages,12125457.808616146,18.0,9688.0,34116277.262750514,35.54
Kicukiro,Rural,03,Clothing and footwear,6068939.141903531,5.0,17600.0,34116277.262750514,17.79
Kicukiro,Rural,04,Housing and utilities,4389568.006029285,9.0,7059.0,34116277.262750514,12.87
Kicukiro,Rural,05,Furnishing and household,7586081.476098192,8.0,13500.0,34116277.262750514,22.24
Kicukiro,Rural,06,Health,858485.7881136952,1.0,12000.0,34116277.262750514,2.52
Kicukiro,Rural,07,Transport,143080.96468561588,1.0,2000.0,34116277.262750514,0.42
Kicukiro,Rural,08,Communication,160945.91408268738,5.0,460.0,34116277.262750514,0.47
Kicukiro,Rural,12,Miscellaneous,2783718.163221361,5.0,8100.0,34116277.262750514,8.16
Nyanza,Urban,01,Food and non-alcoholic beverages,172377695.6324137,45.0,22058.0,416027847.5476229,41.43
Nyanza,Urban,03,Clothing and footwear,167938571.00960743,19.0,45958.0,416027847.5476229,40.37
Nyanza,Urban,04,Housing and utilities,22794307.53059046,17.0,6568.0,416027847.5476229,5.48
Nyanza,Urban,05,Furnishing and household,11038576.71708449,7.0,11714.0,416027847.5476229,2.65
Nyanza,Urban,06,Health,18559347.31175013,11.0,8282.0,416027847.5476229,4.46
Nyanza,Urban,07,Transport,2872015.2698559803,6.0,2367.0,416027847.5476229,0.69
Nyanza,Urban,08,Communication,501633.2271789039,4.0,625.0,416027847.5476229,0.12
Nyanza,Urban,09,Recreation and culture,522092.59259259264,1.0,5000.0,416027847.5476229,0.13
Nyanza,Urban,11,Restaurants and hotels,8077333.333333333,1.0,40000.0,416027847.5476229,1.94
Nyanza,Urban,12,Miscellaneous,11346274.923215898,6.0,10950.0,416027847.5476229,2.73
Nyanza,Rural,01,Food and non-alcoholic beverages,754032066.9283285,441.0,9031.0,1633790433.1569529,46.15
Nyanza,Rural,02,Alcoholic beverages and tobacco,1478724.0585666525,11.0,714.0,1633790433.1569529,0.09
Nyanza,Rural,03,Clothing and footwear,386032161.92894346,120.0,16387.0,1633790433.1569529,23.63
Nyanza,Rural,04,Housing and utilities,143999017.21202746,380.0,2064.0,1633790433.1569529,8.81
Nyanza,Rural,05,Furnishing and household,162783054.0132894,108.0,7978.0,1633790433.1569529,9.96
Nyanza,Rural,06,Health,143391714.50189504,85.0,8939.0,1633790433.1569529,8.78
Nyanza,Rural,07,Transport,10686613.632236024,21.0,2738.0,1633790433.1569529,0.65
Nyanza,Rural,08,Communication,5945091.725397171,87.0,357.0,1633790433.1569529,0.36
Nyanza,Rural,09,Recreation and culture,1895595.0216450216,3.0,3467.0,1633790433.1569529,0.12
Nyanza,Rural,12,Miscellaneous,23546394.134624425,43.0,2880.0,1633790433.1569529,1.44
